purchase_id,customer_id,product_id,purchase_date
1001,1,107,2023-01-15
1002,2,111,2023-02-21
1003,3,116,2023-01-13
1004,4,108,2023-03-07
1005,5,102,2023-02-14
1006,6,110,2023-01-27
1007,7,105,2023-03-21
1008,8,119,2023-02-11
1009,9,103,2023-02-03
1010,10,115,2023-03-01
1011,11,113,2023-03-14
1012,12,117,2023-01-19
1013,13,114,2023-02-17
1014,14,106,2023-03-24
1015,15,109,2023-01-10
1016,16,101,2023-02-26
1017,17,112,2023-03-05
1018,18,120,2023-01-23
1019,19,104,2023-02-20
1020,20,118,2023-03-16
1021,1,104,2023-02-10
1022,2,105,2023-02-22
1023,3,107,2023-01-12
1024,4,114,2023-03-08
1025,5,117,2023-02-15
